,,,,,,,,,
,PEREJIL,1GR,2GR,PICADITO PEQUENO ,Es una ensalada fresca y rustica ,,,,
,HIERBA BUENA,1GR,2GR,PICADITO PEQUENO ,Deben jugar con los colores pero predomina la lechuga,,,,
,TOMATE,8GR,16GR,CUBOS ,,,,,
,PIMENTON ROJO / VERDE,15GR,30GR,CUBOS ,,,,,
,PEPINO ,10GR,20GR,CUBOS ,,,,,
,RABANO ,2GR,4GR,,,,,,
,CEBOLLA MORADA,10GR,20GR,JULIANA ,,,,,
,PAN FRITO ,5GR,10GR,,,,,,
,ADEREZO FATOUSH ,7GR,15GR,,,,,,
,REDUCCION GRANADA (DECORACION),1gr,2GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,ENSALADA FATULE ,CANTIDAD ,,,,,,,
,INGREDIENTES,125GR,250GR,DETALLE,PREPARACIÓN,,,,
,LECHUGA,60GR,120GR,,Combinación de las 2 ensaladas principales,,,,
,PEREJIL,10GR,20GR,PICADITO PEQUENO ,Es una ensalada fresca y rustica ,,,,
,TOMATE,20GR,40GR,CUBOS ,Deben jugar con los colores pero predomina la lechuga,,,,
,PIMENTON ROJO / VERDE,5GR,10GR,CUBOS ,,,,,
,PEPINO ,5GR,10GR,CUBOS ,,,,,
,RABANO ,1GR,2GR,,,,,,
,CEBOLLA MORADA,4GR,8GR,JULIANA ,,,,,
,PAN FRITO ,1GR,2GR,,,,,,
,ADEREZO FATOUSH ,7GR,14GR,,,,,,
,REDUCCION GRANADA (DECORACION),1GR,2GR,,,,,,
,CEBOLLA BLANCA,5GR,10GR,,,,,,
,CEBOLLIN ,1GR,2GR,,,,,,
,TRIGO HIDRATADO,8GR,16GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,PLATOS PRINCIPALES,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,KIBBE FRITO,CANTIDAD ,,,,,,,
,INGREDIENTES,5UND,10 UND,DETALLE,PREPARACIÓN,,,,
,KIBBE FRITO,5UND,10 UND,,,,,,
,PISTACHO MOLIDO ,1GR,2GR,,,,,,
,CREMA DE GARBANZO (EXTRA),40GR,40GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,MINI KIBBE FRITO,CANTIDAD ,,,,,,,
,INGREDIENTES,10UND,20UND,DETALLE,PREPARACIÓN,,,,
,MINI KIBBE FRITO,10UND,20UND,,,,,,
,PISTACHO MOLIDO ,1GR,2GR,,,,,,
,CREMA DE GARBANZO (EXTRA),40GR,40GR,,,,,,
,,,,,,,,,
,,,,,,,,,
,KIBBE HORNADO,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,500GR,DETALLE,PREPARACIÓN,,,,
,KIBBE HORNADO,250GR,500GR,,,,,,
,CEBOLLA FRITA,1GR,1GR,,Decoración,,,,
,GRANADA,1GR,1GR,,Decoración,,,,
,PEREJIL,1GR,1GR,,Decoración,,,,
,,,,,,,,,
,,,,,,,,,
,KIBBE CRUDO,CANTIDAD ,,,,,,,
,INGREDIENTES,250GR,500GR,DETALLE,PREPARACIÓN,,,,
,CHOCOZUELA MOLIDA ROJA ,200 GR ,400 GR ,,Se debe amasar con guantes muy muy bien hasta que quede una pasta ,,,,
,TRIGO HIDRATADO DE CRUDO (MOLIDO),15 GR,25 GR,,"El color rojo es importante, sino no sale",,,,
