,,,,,,,,
,Vino Tinto (Malbec/Syrah),"173,9",GR,,,,,
,Mantequilla Clarificada (Ghee),56,GR,,,,,
,Melaza de Granada,42,GR,,,,,
,Azúcar Moreno,21,GR,,,,,
,Sal Marina,8,GR,,,,,
,Canela en rama,4,GR,,,,,
,Pimienta de Jamaica (molida),"0,7",GR,,,,,
,,,,,,,,
,Tabaquitos X 138 UND ,,,,,,,
,,Cantidad,Medida,,,,,
,Lagarto Molido,500,GR,,,,,
,Chocozuela Molida,500,GR,,,,,
,Arroz Blanca ,700,GR,,,,,
,7 Especias ,20,GR,,,,,
,Sal,40,GR,,,,,
,Pimienta negra ,1,GR,,,,,
,Cebolla Blanca,800,CUADRITOS ,,,,,
,Mantequilla ,100,GR,,,,,
,Aceite Veg,100,GR,,,,,
,Hoja de parra x tabaquito,138,UND,,,,,
,,,,,,,,"138,05"
,Olla para Tabaquitos 400 UND MAX (Aderezo),,,,,,,
,,Cantidad,Medida,,,,,
,Chuleta de Cochino,5,UND,,,,,
,Mantequilla,100,GR,,,,,
,Sal y Pimienta,PIZCA ,PIZCA,,,,,
,Limón Exprimido ,1,ML,,,,,
,Sal  ,1,PIZCA,,,,,
,Ajo Grande,200,GR,,,,,
,Granada Líquida,80,GR,,,,,
,Cubitos de Pollo,1,UND ,,,,,
,,,,,,,,
,Basturma,,,,,,,
,,Cantidad,Medida,,,,,
,Pulpa negra,1 PIEZA ,Pieza,,,,,
,Sal Gruesa,2,KG,,,,,
,Azul ,500,GR,,,,,
,,,,,,,,
,Mezcla Chaman ,,,,,,,
,,Cantidad ,Medida,,,,,
,cOLORANTE ROJO ,230,GR,,,,,
,PAPRIKA,8,GR,,,,,
,SAL ,4,GR,,,,,
,7 ESPECIES ,4,GR,,,,,
,PASTA TOMATE,1,CUCH,,,,,
,HARISSA ,,,,,,,
,AJO ,60,GR,,,,,
,PIMENTON ROJO ,,,,,,,
,ACEITE VEGETAL ,2,CUCH,,,,,
,COLORANTE ROJO ,3,GOTAS,,,,,
,,,,,,,,
,Helado de Pistado,,,,,,,
,,Cantidad ,Medida,,,,,
,PISTACHO TOSTADO,5,KG,,,,,
,LECHE CONDENSADA,4,UND,,,,,
,CHANTILLY,2,UND,,,,,
,GRAN COCINERO,2,UND,,,,,
