nombre,categoria,unidad_base,punto_reorden,minimo_stock,costo_unitario_inicial,es_critico,descripcion
ETIQUETA SHANKLISH ARROZ ARABE 250 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH ARROZ ARABE 500 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH BABAGANOUSH 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH BAKLAVA 3 UND Y 5 UND,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH FALAFEL 14 UNDS,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH FALAFEL 7 UND,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH FATTOUSH 250 GR 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH KIBBE CRUDO 250 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH KIBBE CRUDO 500 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH KIBBE FRITO 5 UND 10 UND,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH KIBBE HORNEADO 250 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH KIBBE HORNEADO 500 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH LABAN 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH LABNEH 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH MINI PIZZA 5 UND Y 8UND,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH MUHAMMARA 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH PINCHOS POLLO CARNE MIXTO 200 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH QUESO ARABE MERY Y MIEL 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH QUESO ARABE PESTO 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH QUESO ARABE PICANTE 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH QUESO ARABE TOMATE SECO 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH QUESO ARABE TRADICIONAL 250 GR Y 125GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH SHAWARMAS 250 GR Y 350 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH SHAWARMAS 500 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH TABAQUITOS 7 UND Y 14 UND,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH TABULE 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH TARATOR 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ETIQUETA SHANKLISH TOUM 250 GR Y 125 GR,ETIQUETAS,UNIT,,,,NO,
ALMENDRAS ENTERAS KG,FRUTOS SECOS,KG,,,,NO,
ALMENDRAS FILETEADAS KG,FRUTOS SECOS,KG,,,,NO,
AVELLANAS ENTERAS KG,FRUTOS SECOS,KG,,,,NO,
MEREY KG,FRUTOS SECOS,KG,,,,NO,
PIÑONES KG,FRUTOS SECOS,KG,,,,NO,
PISTACHO KG,FRUTOS SECOS,KG,,,,NO,
PISTACHO MOLIDO KG,FRUTOS SECOS,KG,,,,NO,
AJO KG,FRUVER,KG,,,,NO,
ALBAHACA KG,FRUVER,KG,,,,NO,
BERENJENA KG,FRUVER,KG,,,,NO,
BROTES CHINOS,FRUVER,KG,,,,NO,
CEBOLLA KG,FRUVER,KG,,,,NO,
CEBOLLA MORADA KG,FRUVER,KG,,,,NO,
CEBOLLIN KG,FRUVER,KG,,,,NO,
CILANTRO KG,FRUVER,KG,,,,NO,
COCO KG,FRUVER,KG,,,,NO,
FRESA KG,FRUVER,KG,,,,NO,
GRANADA UND,FRUVER,KG,,,,NO,
GUANABANA,FRUVER,KG,,,,NO,
HIERBA BUENA KG,FRUVER,KG,,,,NO,
HOJA DE PARRA UND,FRUVER,UNIT,,,,NO,
JENGIBRE KG,FRUVER,KG,,,,NO,
LECHUGA ROMANA KG,FRUVER,KG,,,,NO,
LIMON KG,FRUVER,KG,,,,NO,
MANGO KG,FRUVER,KG,,,,NO,
MORA KG,FRUVER,KG,,,,NO,
NARANJA KG,FRUVER,KG,,,,NO,
PARCHITA KG,FRUVER,KG,,,,NO,
PEPINILLOS KG,FRUVER,KG,,,,NO,
PEPINO KG,FRUVER,KG,,,,NO,
PEREJIL KG,FRUVER,KG,,,,NO,
PIMENTON MIXTO KG,FRUVER,KG,,,,NO,
PIMENTON ROJO KG,FRUVER,KG,,,,NO,
PIMENTON VERDE KG,FRUVER,KG,,,,NO,
PIÑA UND,FRUVER,KG,,,,NO,
PLATANO KG,FRUVER,KG,,,,NO,
RABANO KG,FRUVER,KG,,,,NO,
REPOLLO BLANCO KG,FRUVER,KG,,,,NO,
REPOLLO MORADO KG,FRUVER,KG,,,,NO,
TOMATE KG,FRUVER,KG,,,,NO,
TOMATE SECO KG,FRUVER,KG,,,,NO,
YUCA KG,FRUVER,KG,,,,NO,
ZANAHORIA KG,FRUVER,KG,,,,NO,
GRANADINA ARLEQUIN LT,JARABES ENDULZANTES AZUCARES,L,,,,NO,
JARABE DE GOMA LT,JARABES ENDULZANTES AZUCARES,L,,,,NO,
GRANADA LIQUIDA LT,JUGOS,L,,,,NO,
JUGO DE PARCHITA LT,JUGOS,L,,,,NO,
MALTA UND,JUGOS,L,,,,NO,
BASE DE HELADO KG,LACTEOS,KG,,,,NO,
CREMA CHANTILLO LT,LACTEOS,L,,,,NO,
CREMA DE LECHE LT,LACTEOS,L,,,,NO,
HUEVOS UND,LACTEOS,UNIT,,,,NO,
LECHE COMPLETA LT,LACTEOS,L,,,,NO,
LECHE CONDENSADA NATULAC LT,LACTEOS,L,,,,NO,
LECHE DE ALMENDRAS LT,LACTEOS,L,,,,NO,
LECHE DESCREMADA LT,LACTEOS,L,,,,NO,
LECHE DESLACTOSADA LT,LACTEOS,L,,,,NO,
LECHE EN POLVO KG,LACTEOS,KG,,,,NO,
MANTEQUILLA SIN SAL KG,LACTEOS,KG,,,,NO,
QUESO PARMESANO KG,LACTEOS,KG,,,,NO,
YOGURT BARRA KG,LACTEOS,KG,,,,NO,
YOGURT NORMAL KG,LACTEOS,KG,,,,NO,
APEROL UND,LICORES,L,,,,NO,
ARAK UND,LICORES,L,,,,NO,
BAILEYS UND,LICORES,L,,,,NO,
BLODYMARY MIXER,LICORES,L,,,,NO,
BUCHANAN'S DELUXE 12 AÑOS UND,LICORES,L,,,,NO,
BUCHANAN'S SPECIAL RESERVE 18 AÑOS UND,LICORES,L,,,,NO,
CACIQUE UND,LICORES,L,,,,NO,
CAMPARI UND,LICORES,L,,,,NO,
COINTREAU UND,LICORES,L,,,,NO,
CURACAO AZUL UND,LICORES,L,,,,NO,
DEWARDS 6 AÑOS,LICORES,L,,,,NO,
DEWARS 12 AÑOS UND,LICORES,L,,,,NO,
DEWARS WHITE LABEL 12 AÑOS UND,LICORES,L,,,,NO,
DISARONNO UND,LICORES,L,,,,NO,
ESPUMANTE,LICORES,L,,,,NO,
FINCA LAS MORAS UND,LICORES,L,,,,NO,
FRANGELICO UND,LICORES,L,,,,NO,
GORDONS LONDON DRY GIN UND,LICORES,L,,,,NO,
GORDONS VODKA UND,LICORES,L,,,,NO,
GREY GOOSE VODKA 1LT UND,LICORES,L,,,,NO,
JAGERMEISTER UND,LICORES,L,,,,NO,
JOSE CUERVO SILVER TEQUILA UND,LICORES,L,,,,NO,
KAHLUA UND,LICORES,L,,,,NO,
KUMBA LICOR DE CAFÉ UND,LICORES,L,,,,NO,
LIMONCELLO UND,LICORES,L,,,,NO,
LINDA MORA BLANCO UND,LICORES,L,,,,NO,
LINDA MORA TINTO UND,LICORES,L,,,,NO,
OLD PAR 12 AÑOS UND,LICORES,L,,,,NO,
PROSECO,LICORES,L,,,,NO,
RON CARUPANO 18 AÑOS UND,LICORES,L,,,,NO,
RON CARUPANO RESERVA LIMITADA UND,LICORES,L,,,,NO,
RON DIPLOMATICO RESERVA LIMITADA UND,LICORES,L,,,,NO,
RON DIPLOMATICO UND,LICORES,L,,,,NO,
RON ROBLE ULTRA AÑEJO UND,LICORES,L,,,,NO,
RON SANTA TERESA 1796 TRIPLE RON AÑEJO UND,LICORES,L,,,,NO,
RON SANTA TERESA DORADO,LICORES,L,,,,NO,
ROSE UND,LICORES,L,,,,NO,
SAMBUCA UND,LICORES,L,,,,NO,
SANTA TERESA GRAN RESERVA 0.70LT UND,LICORES,L,,,,NO,
SANTA TERESA LINAJE UND,LICORES,L,,,,NO,
SANTA TERESA RON BLANCO UND,LICORES,L,,,,NO,
SOMMOS CHARDONNAY UND,LICORES,L,,,,NO,
STOLICHNAYA UND,LICORES,L,,,,NO,
TRAPICHE VINEYARDS UND,LICORES,L,,,,NO,
VERMU BLANCO UND,LICORES,L,,,,NO,
VERMÚ EXTRA SECO UND,LICORES,L,,,,NO,
VERMU ROSSO UND,LICORES,L,,,,NO,
BOLSAS 1/4,MANTENIMIENTO,UNIT,,,,NO,
BOLSAS DE BASURA NEGRA UND,MANTENIMIENTO,UNIT,,,,NO,
BOLSAS DE PAPELERAS UND,MANTENIMIENTO,UNIT,,,,NO,
BRILLO UP UND,MANTENIMIENTO,UNIT,,,,NO,
CEPILLOS DE LAVAR UND,MANTENIMIENTO,UNIT,,,,NO,
CLORO UND,MANTENIMIENTO,UNIT,,,,NO,
COLETOS UND,MANTENIMIENTO,UNIT,,,,NO,
DESENGRASANTE UND,MANTENIMIENTO,UNIT,,,,NO,
DESINFECTANTE UND,MANTENIMIENTO,UNIT,,,,NO,
DETERGENTE EN POLVO KG,MANTENIMIENTO,KG,,,,NO,
DETERGENTE UND,MANTENIMIENTO,UNIT,,,,NO,
ESCOBAS UND,MANTENIMIENTO,UNIT,,,,NO,
ESPONJA AMARILLA UND,MANTENIMIENTO,UNIT,,,,NO,
ESPONJA DE ALAMBRE UND,MANTENIMIENTO,UNIT,,,,NO,
ESPONJA DE BRILLO UND,MANTENIMIENTO,UNIT,,,,NO,
GORROS DE COCINA UND,MANTENIMIENTO,UNIT,,,,NO,
GUANTES DE LIMPIEZA UND,MANTENIMIENTO,UNIT,,,,NO,
GUANTES NEGROS PAQUETE,MANTENIMIENTO,UNIT,,,,NO,
GUANTES NEGROS UND,MANTENIMIENTO,UNIT,,,,NO,
HARGAN UND,MANTENIMIENTO,UNIT,,,,NO,
JABON LIQUIDO NEUTRO UND,MANTENIMIENTO,UNIT,,,,NO,
JABON PARA MANOS UND,MANTENIMIENTO,UNIT,,,,NO,
JABONOSAS UND,MANTENIMIENTO,UNIT,,,,NO,
KIT DE ESPONJA JABONOSA UND,MANTENIMIENTO,UNIT,,,,NO,
LAS LLAVES EN POLVO KG,MANTENIMIENTO,UNIT,,,,NO,
MANTELES UND,MANTENIMIENTO,UNIT,,,,NO,
MOPAS UND,MANTENIMIENTO,UNIT,,,,NO,
PALAS UND,MANTENIMIENTO,UNIT,,,,NO,
PALILLO DE DIENTE UND,MANTENIMIENTO,UNIT,,,,NO,
PAÑOS AMARILLOS UND,MANTENIMIENTO,UNIT,,,,NO,
PAPEL HIGIENICO,MANTENIMIENTO,UNIT,,,,NO,
